2,2,2,2,2,2,2,2,2,62,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,62,2,
2,81,81,29,30,81,81,81,27,81,81,81,29,30,81,81,81,81,81,81,81,81,81,81,81,81,81,29,30,81,81,8,29,30,81,81,81,81,81,81,81,29,30,27,81,2,
2,29,30,39,40,81,81,29,30,81,81,81,39,40,81,81,81,81,81,81,81,81,81,81,81,29,30,39,40,81,81,81,39,40,81,10,81,81,81,81,81,39,40,81,81,2,
2,39,40,81,81,29,30,39,40,81,81,81,29,30,81,81,81,29,30,81,81,81,81,81,81,39,40,81,81,81,81,81,81,10,29,30,81,81,81,81,81,81,81,81,81,2,
2,81,81,81,81,39,40,81,81,81,81,81,39,40,81,81,81,39,40,81,81,81,81,29,30,29,30,9,81,81,81,81,81,10,39,40,81,81,81,81,29,30,81,81,20,2,
2,81,81,81,81,81,81,81,81,81,81,81,81,81,29,30,19,81,81,81,81,81,81,39,40,39,40,81,81,81,81,81,81,81,10,10,81,29,30,81,39,40,10,29,30,2,
2,81,81,81,81,81,81,81,81,81,81,81,81,81,39,40,81,81,81,81,81,81,81,81,81,9,29,30,81,81,81,81,81,81,81,81,81,39,40,29,30,10,10,39,40,2,
2,29,30,81,29,30,81,81,81,81,81,81,81,81,81,29,30,81,81,81,81,81,81,81,81,81,39,40,81,81,81,81,81,81,81,81,29,30,10,49,50,10,10,10,81,2,
2,39,40,81,39,40,81,81,81,81,29,30,81,81,81,39,40,81,81,81,81,81,81,81,81,81,81,29,30,81,81,81,81,81,81,81,39,40,10,39,40,81,81,27,81,2,
2,81,81,81,81,19,81,81,29,30,39,40,81,81,81,81,29,30,81,81,81,81,81,81,81,81,81,39,40,10,29,30,81,81,81,81,81,29,30,10,10,38,81,81,81,2,
2,81,81,81,29,30,81,81,39,40,8,29,30,81,81,81,39,40,81,81,81,81,29,30,81,81,81,81,29,30,39,40,29,30,81,81,81,39,40,10,10,38,81,81,81,2,
2,29,30,81,39,40,81,81,81,81,81,39,40,29,30,81,81,81,81,81,81,81,39,40,81,81,81,81,39,40,29,30,39,40,81,81,81,81,10,29,30,38,38,81,81,2,
2,39,40,29,30,81,81,29,30,81,81,81,8,39,40,81,81,81,81,81,81,81,81,81,81,81,10,29,30,10,39,40,29,30,81,81,81,81,10,39,40,38,81,81,81,2,
2,81,81,39,40,81,81,39,40,81,81,81,81,29,30,81,81,81,81,81,81,81,27,81,81,10,10,39,40,10,10,81,39,40,81,8,81,29,30,9,29,30,81,81,81,2,
2,29,30,81,81,10,81,29,30,81,81,81,81,39,40,29,30,81,81,81,81,81,81,81,81,10,29,30,10,81,81,81,81,81,81,81,10,39,40,81,39,40,81,81,81,2,
2,39,40,81,29,30,81,39,40,81,81,81,81,81,81,39,40,29,30,81,81,81,81,81,29,30,39,40,29,30,81,81,81,81,81,29,30,10,81,81,81,81,81,81,81,2,
2,81,29,30,39,40,81,81,81,81,81,81,81,81,81,81,81,39,40,10,29,30,29,30,39,40,81,81,39,40,81,81,81,81,81,39,40,81,81,81,81,81,81,81,81,2,
2,81,39,40,81,81,29,30,81,81,81,81,81,81,81,81,29,30,8,19,39,40,39,40,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,29,30,2,
2,81,81,81,29,30,39,40,29,30,81,81,81,81,81,8,39,40,29,30,19,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,29,30,39,40,2,
2,81,29,30,39,40,81,81,39,40,81,81,81,81,29,30,81,81,39,40,81,81,81,81,81,29,30,81,81,81,81,81,81,8,29,30,81,81,81,27,81,39,40,81,81,2,
2,81,39,40,81,81,81,81,10,29,30,81,29,30,39,40,81,81,81,81,81,81,81,81,81,39,40,81,81,81,81,81,81,81,39,40,81,81,81,81,81,81,81,81,81,2,
2,29,30,29,30,27,81,81,81,49,50,81,39,40,8,29,30,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,20,81,81,81,81,81,81,28,56,28,2,
2,39,40,39,40,81,81,81,81,49,50,81,81,81,81,39,40,81,29,30,81,8,81,81,81,81,81,81,81,81,37,81,81,81,8,8,81,81,81,29,30,81,81,81,81,2,
2,81,29,30,81,81,81,81,81,39,40,81,81,81,29,30,81,81,49,50,29,30,81,81,81,81,81,81,81,81,47,81,81,8,81,81,81,81,81,49,50,81,28,56,28,2,
2,20,39,40,81,29,30,81,81,81,81,81,81,81,39,40,81,81,49,50,39,40,81,81,8,8,81,81,81,81,81,81,8,81,81,81,81,81,81,49,50,81,81,81,81,2,
2,29,30,10,10,39,40,81,81,81,81,81,81,81,81,81,81,81,39,40,81,81,81,8,8,81,81,81,81,81,81,81,20,81,81,81,81,81,81,39,40,81,28,56,28,2,
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
